C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\scripts\shift-simulator.ts: line 116, col 5, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\scripts\shift-simulator.ts: line 133, col 5, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\AuthContext.tsx: line 315, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\AuthContext.tsx: line 323, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\MessagingContext.tsx: line 495, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\index.tsx: line 11, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\index.tsx: line 12, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\context\index.tsx: line 14, col 10, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\routes.tsx: line 15, col 7, Warning - Fast refresh only works when a file only exports components. Move your component(s) to a separate file. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\src\routes.tsx: line 44, col 7, Warning - Fast refresh only works when a file only exports components. Move your component(s) to a separate file. (react-refresh/only-export-components)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\supabase\functions\calculate-payroll\index.ts: line 146, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\supabase\functions\calculate-payroll\index.ts: line 167, col 48, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\supabase\functions\calculate-payroll\index.ts: line 199, col 21, Warning - '_' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\industrial-edge-cases.spec.ts: line 65, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\industrial-edge-cases.spec.ts: line 101, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\offline-sync.spec.ts: line 50, col 15, Warning - '_isVisible' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 46, col 17, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 56, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 57, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 58, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 59, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 60, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 111, col 13, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 112, col 13, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 113, col 13, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 114, col 13, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\performance-and-fallback.spec.ts: line 140, col 9, Warning - Unexpected console statement. (no-console)
C:\Users\ibrab\Downloads\app\harvestpro-nz (1)\tests\e2e\soft-delete.spec.ts: line 70, col 15, Warning - 'countBefore' is assigned a value but never used. (@typescript-eslint/no-unused-vars)

28 problems
